cal_file,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
Report_RSAS_1245.pdf,1987-04-08,Wild Heerbrugg,RC8,1062,Wild,Universal Aviogon,UAg449,152.568,219.997,220.01,299.817,299.808,-109.985,-0.013,110.013,-0.021,0.024,109.985,0.005,-110.025,-105.981,-106.014,106.021,105.989,-105.977,105.992,106.009,-106.014
Report_RSAS_1259.pdf,1987-06-12,Wild Heerbrugg,RC8,595,Wild,Universal Aviogon,UAg253,152.412,220.001,219.996,299.811,299.808,-110.009,0.009,109.992,-0.001,-0.003,110.001,-0.01,-109.995,-106.006,-105.994,105.998,105.998,-106.011,106.002,105.985,-105.994
Report_RSAS_1273.pdf,1987-08-13,Wild Heerbrugg,RC8,604,Wild,Universal Aviogon,UAg260,152.057,220.0,220.004,299.824,299.819,-109.996,0.009,110.004,0.0,0.0,110.006,0.005,-109.999,-105.997,-105.992,106.013,106.012,-106.004,106.015,105.997,-105.992
Report_RSAS_1277.pdf,1987-09-04,Wild Heerbrugg,RC8,915,Wild,Universal Aviogon,UAg381,152.084,,,299.813,299.824,,,,,,,,,-106.024,-105.971,105.977,106.027,-106.024,106.034,105.986,-105.971
Report_RSAS_1278.pdf,1987-09-10,Wild Heerbrugg,RC8,701,Wild,Universal Aviogon,UAg308,152.985,220.012,220.009,299.814,299.818,-110.013,0.01,109.999,-0.002,0.01,110.008,-0.004,-110.001,-105.994,-106.006,106.009,105.992,-105.996,106.002,106.002,-106.006
Report_RSAS_1281.pdf,1987-09-22,Wild Heerbrugg,RC8,1065,Wild,Universal Aviogon,UAg462,152.524,,,299.819,299.815,,,,,,,,,-105.99,-105.989,106.016,106.012,-106.005,106.004,106.004,-105.989
Report_RSAS_1283.pdf,1987-09-29,Wild Heerbrugg,RC8,1055,Wild,Universal Aviogon,UAg452,152.679,219.992,219.994,299.818,299.808,-109.991,0.02,110.001,0.009,0.009,110.015,-0.005,-109.979,-105.993,-105.983,106.016,106.016,-105.988,106.018,106.003,-105.983
Report_RSAS_1284.pdf,1987-10-06,Wild Heerbrugg,RC8,716,Wild,Universal Aviogon,UAg340,152.628,,,299.81,299.809,,,,,,,,,-105.99,-105.986,106.018,106.001,-105.981,106.015,106.012,-105.986
Report_RSAS_1286.pdf,1987-10-09,Wild Heerbrugg,RC8,1053,Wild,Universal Aviogon,UAg422,152.585,220.006,219.993,299.819,299.797,-109.998,0.007,110.008,0.0,0.011,109.994,-0.006,-109.999,-105.992,-105.994,106.021,106.001,-105.989,105.999,105.994,-105.994
Report_RSAS_1288.pdf,1987-10-15,Wild Heerbrugg,RC8,900,Wild,Universal Aviogon,UAg373,151.931,,,299.815,299.813,,,,,,,,,-106.007,-105.961,105.996,106.037,-106.006,106.033,106.0,-105.961
