ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1SWGF00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGG00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGH00030001,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWGI00020001,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWGJ00010045,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGK00010057,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGL00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGM00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGNI0010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGO00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWGP00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
